サイト名,店舗名,住所(アクセス含む),電話番号,説明文,料金表の下の説明文,画像URL,タイプ,広さ(約畳）,広さ(幅ｘ奥行ｘ高さ),月額料金,キャンペーン料金,空き状況
"キュラーズ ",キュラーズ東新宿店（東京都新宿区）,"東京都新宿区歌舞伎町2-16-9 都営大江戸線・副都心線「東新宿駅」A1出口2分",0120-15-9773,"トランクルーム・キュラーズ東新宿店を選ぶ理由 大江戸線・副都心線「東新宿」駅から徒歩2分 　　明治通り・職安通り交差点すぐそば 　　24時間荷物の出し入れ可能 東京都新宿区のトランクルーム・キュラーズ東新宿店は都営地下鉄大江戸線・副都心線「東新宿」駅から徒歩2分と、アクセスに便利な場所にございます。また、明治通りと職安通りの交差点からもすぐそばに立地していますので、都心の中心地にありながら電車でもお車でもアクセス至便な環境に位置しています。 荷物の出し入れ時にご利用頂ける屋内型専用駐車場も完備していますので雨の日でも安心して搬出入を行っていただけます。 ICチップ内蔵の完全オリジナルカードと暗証番号によるセキュリティシステムを採用し、ご利用者以外の出入館をシャットアウト。高いセキュリティレベルを保ちながら、荷物の出し入れは24時間いつでも可能な利便性の高い出入館システムを提供しています。東京都新宿区エリアにてトランクルームをお探しなら、ぜひキュラーズ東新宿店をご利用ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方、口座振替（振込手数料無料）のみ、初期費用期間の翌月から適用（法人様の場合を除く）となります。 　（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_shinjuku/photo01.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo02.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo03.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo04.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo05.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo06.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo07.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo08.jpg,3.3畳,3.30,,47600,33320,残りわずか
"キュラーズ ",キュラーズ東新宿店（東京都新宿区）,"東京都新宿区歌舞伎町2-16-9 都営大江戸線・副都心線「東新宿駅」A1出口2分",0120-15-9773,"トランクルーム・キュラーズ東新宿店を選ぶ理由 大江戸線・副都心線「東新宿」駅から徒歩2分 　　明治通り・職安通り交差点すぐそば 　　24時間荷物の出し入れ可能 東京都新宿区のトランクルーム・キュラーズ東新宿店は都営地下鉄大江戸線・副都心線「東新宿」駅から徒歩2分と、アクセスに便利な場所にございます。また、明治通りと職安通りの交差点からもすぐそばに立地していますので、都心の中心地にありながら電車でもお車でもアクセス至便な環境に位置しています。 荷物の出し入れ時にご利用頂ける屋内型専用駐車場も完備していますので雨の日でも安心して搬出入を行っていただけます。 ICチップ内蔵の完全オリジナルカードと暗証番号によるセキュリティシステムを採用し、ご利用者以外の出入館をシャットアウト。高いセキュリティレベルを保ちながら、荷物の出し入れは24時間いつでも可能な利便性の高い出入館システムを提供しています。東京都新宿区エリアにてトランクルームをお探しなら、ぜひキュラーズ東新宿店をご利用ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方、口座振替（振込手数料無料）のみ、初期費用期間の翌月から適用（法人様の場合を除く）となります。 　（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_shinjuku/photo01.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo02.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo03.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo04.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo05.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo06.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo07.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo08.jpg,4畳,4.00,,57600,40320,残りわずか
"キュラーズ ",キュラーズ東新宿店（東京都新宿区）,"東京都新宿区歌舞伎町2-16-9 都営大江戸線・副都心線「東新宿駅」A1出口2分",0120-15-9773,"トランクルーム・キュラーズ東新宿店を選ぶ理由 大江戸線・副都心線「東新宿」駅から徒歩2分 　　明治通り・職安通り交差点すぐそば 　　24時間荷物の出し入れ可能 東京都新宿区のトランクルーム・キュラーズ東新宿店は都営地下鉄大江戸線・副都心線「東新宿」駅から徒歩2分と、アクセスに便利な場所にございます。また、明治通りと職安通りの交差点からもすぐそばに立地していますので、都心の中心地にありながら電車でもお車でもアクセス至便な環境に位置しています。 荷物の出し入れ時にご利用頂ける屋内型専用駐車場も完備していますので雨の日でも安心して搬出入を行っていただけます。 ICチップ内蔵の完全オリジナルカードと暗証番号によるセキュリティシステムを採用し、ご利用者以外の出入館をシャットアウト。高いセキュリティレベルを保ちながら、荷物の出し入れは24時間いつでも可能な利便性の高い出入館システムを提供しています。東京都新宿区エリアにてトランクルームをお探しなら、ぜひキュラーズ東新宿店をご利用ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方、口座振替（振込手数料無料）のみ、初期費用期間の翌月から適用（法人様の場合を除く）となります。 　（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_shinjuku/photo01.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo02.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo03.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo04.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo05.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo06.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo07.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo08.jpg,5畳,5.00,,69600,48720,残りわずか
"キュラーズ ",キュラーズ東新宿店（東京都新宿区）,"東京都新宿区歌舞伎町2-16-9 都営大江戸線・副都心線「東新宿駅」A1出口2分",0120-15-9773,"トランクルーム・キュラーズ東新宿店を選ぶ理由 大江戸線・副都心線「東新宿」駅から徒歩2分 　　明治通り・職安通り交差点すぐそば 　　24時間荷物の出し入れ可能 東京都新宿区のトランクルーム・キュラーズ東新宿店は都営地下鉄大江戸線・副都心線「東新宿」駅から徒歩2分と、アクセスに便利な場所にございます。また、明治通りと職安通りの交差点からもすぐそばに立地していますので、都心の中心地にありながら電車でもお車でもアクセス至便な環境に位置しています。 荷物の出し入れ時にご利用頂ける屋内型専用駐車場も完備していますので雨の日でも安心して搬出入を行っていただけます。 ICチップ内蔵の完全オリジナルカードと暗証番号によるセキュリティシステムを採用し、ご利用者以外の出入館をシャットアウト。高いセキュリティレベルを保ちながら、荷物の出し入れは24時間いつでも可能な利便性の高い出入館システムを提供しています。東京都新宿区エリアにてトランクルームをお探しなら、ぜひキュラーズ東新宿店をご利用ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方、口座振替（振込手数料無料）のみ、初期費用期間の翌月から適用（法人様の場合を除く）となります。 　（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_shinjuku/photo01.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo02.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo03.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo04.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo05.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo06.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo07.jpg;http://www.quraz.com/tokyo/image/_shinjuku/photo08.jpg,6.5畳,6.50,,83300,58310,残りわずか
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,Box-2,0.00,,7600,5320,残りわずか
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,Box-3,0.00,,10200,7140,残りわずか
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,0.5畳,0.50,,16300,11410,残りわずか
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,0.7畳,0.70,,19400,13580,残りわずか
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,0.8畳,0.80,,22600,15820,残りわずか
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,1畳,1.00,,25900,18130,○
"キュラーズ ",キュラーズ四谷三丁目店（東京都新宿区）,"東京都新宿区須賀町2-3 東京メトロ丸ノ内線「四谷三丁目駅」3番出口3分 JR「四ツ谷駅」赤坂口8分",0120-15-9773,"トランクルーム・キュラーズ四谷三丁目店を選ぶ理由 四谷三丁目駅から徒歩3分 　　無料専用駐車場2台完備 　　新宿通りそばで新宿からのアクセス至便 東京都新宿区のトランクルーム・キュラーズ四谷三丁目店は、東京メトロ丸ノ内線「四谷三丁目駅」から徒歩三分、JR「四ツ谷駅」からも徒歩8分と抜群のアクセス環境にございます。新宿通りから津之守坂入口交差点を南進してすぐの場所にあり、電車でもお車でも大変便利な場所にあります。荷物の出し入れに欠かす事の出来ない専用無料駐車場も完備しておりますので、大きなお荷物の搬入・搬出もスムーズに行って頂くことが可能です。クローゼット代わりにご利用いただける１畳タイプから、書類や在庫保管などにも活用頂ける4畳以上の大きなサイズまで幅広いサイズバリエーションをご用意し、用途に合わせてご利用頂けます。 また、店舗には収納コンシェルジュが常駐しているので、初めてご利用の方でもわからないことやお困り事などがあればすぐに店舗スタッフが現地にて対応いたします。店内は明るく清潔で、スタッフが毎日巡回しておりますので女性のお客様でも安心してご利用頂けます。 自宅の収納不足にお困りの方から、オフィススペースの有効活用をご検討の法人の方まで様々な用途にお使い頂くことが可能ですので、トランクルームをご検討に際には、どうぞお気軽にキュラーズ四谷三丁目店までご相談ください。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_yotsuya/photo01.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo02.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo03.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo04.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo05.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo06.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo07.jpg;http://www.quraz.com/tokyo/image/_yotsuya/photo08.jpg,1.3畳,1.30,,29000,20300,○
